# Redshift peak_mF106
0.8310 23.6883
1.7781 24.8462
2.3326 26.5791
1.7480 25.5361
1.9952 26.3769
1.3380 24.7656
1.9308 25.5699
1.4492 24.7711
2.5287 28.1011
2.0968 26.8174
2.3439 28.0123
1.5788 24.7432
0.6518 23.5411
1.5504 25.7262
0.5555 23.1747
0.4925 22.6391
0.8120 23.7029
1.0369 24.1830
0.3671 22.5033
2.6036 27.9016
2.4884 27.0191
1.2336 25.0162
2.2602 26.1763
1.4049 25.3513
1.4893 24.7123
0.6825 23.7692
2.0209 26.5622
2.5477 28.4242
2.3373 26.5109
0.6911 23.4682
1.2907 24.4251
0.1064 21.2265
2.8160 28.0110
2.4748 27.0403
0.7756 23.8049
1.5117 25.1317
0.9281 24.4114
1.7951 25.6083
1.6022 24.7174
0.8501 24.0174
2.3782 27.0376
1.3425 24.7600
0.6978 23.3633
1.5062 24.9085
0.5967 23.0551
2.3100 27.7045
2.2488 26.5582
2.6772 28.1723
1.2022 24.7548
1.2507 24.2753
1.4470 25.3021
2.5289 27.2115
1.3854 24.8388
1.4993 24.8685
1.4924 24.8219
1.5034 24.9747
2.7306 27.5533
1.3327 24.3884
1.4144 25.2007
1.6347 25.3231
2.5588 27.5348
1.4839 25.0657
1.0683 24.5341
1.4114 25.0732
1.4895 24.6927
2.5810 28.0948
2.2958 26.3832
1.0489 24.1091
1.8058 26.0845
1.8971 25.8617
1.6897 25.0369
1.3034 24.4440
1.1343 25.1308
0.8580 23.8851
0.4530 23.2179
2.2096 26.7834
2.4373 27.3829
1.6810 25.1296
1.3990 24.5298
2.4120 26.7150
1.7889 26.1744
2.1150 26.5987
1.5540 24.7036
2.4366 26.3672
1.6374 24.3994
0.7743 23.8418
0.3648 23.0795
1.5776 25.7868
0.8301 23.8114
2.4611 27.3491
0.6801 23.2275
1.9284 26.0303
0.7985 23.6400
2.0292 26.4170
1.1442 24.1848
0.3417 22.6587
0.2774 21.9918
2.6112 27.8267
0.9103 24.1226
1.2434 24.3478
2.0260 26.0772
2.6754 29.4156
2.1771 26.6665
0.9605 23.8374
1.5968 24.6296
1.1495 24.3469
0.6439 23.5021
1.9215 26.1265
1.1424 24.2949
0.8976 24.3162
1.7352 25.6580
0.8030 23.7267
1.2448 24.8562
3.0196 29.4840
2.4934 27.1073
1.6956 25.2816
1.3804 24.9354
2.6939 27.7168
1.9355 25.6092
2.6902 28.0061
1.3464 24.8894
2.0784 26.8235
2.1536 26.6925
1.3176 24.9727
1.5353 24.4005
0.4469 22.4678
2.4715 28.4990
0.8564 23.8386
1.0094 24.5300
1.0956 23.9618
1.0981 24.3493
1.4584 25.1454
1.0463 24.5108
1.5552 25.2414
1.6117 25.0753
2.1743 26.9458
1.9984 26.0875
0.2593 22.8572
2.6348 27.6908
2.4946 28.1372
2.0106 25.6543
0.9604 23.9491
2.0366 25.6624
2.6865 27.5417
1.3537 24.6596
2.3620 26.4244
1.0124 24.3305
0.5131 22.9092
1.8626 25.4945
2.0406 26.1519
1.5366 24.7227
1.0237 23.8554
2.1184 26.6947
1.3175 24.8772
0.4636 22.9815
0.6768 23.4002
1.0053 24.3199
1.4239 24.7032
1.3530 24.9064
2.6121 27.1896
0.5594 23.1984
2.0554 25.8396
0.9766 24.2354
0.5615 23.3939
1.4674 24.7512
2.0526 26.3640
1.1910 25.0601
2.2665 26.9578
1.6990 25.1323
2.1008 26.3269
1.8499 25.7583
1.5801 25.1873
2.2811 27.5322
2.1779 26.3222
1.9862 26.0205
0.2877 22.1690
1.7935 25.9424
0.2271 21.3900
1.2296 24.5543
1.1152 24.3825
1.3076 24.3693
1.7919 25.9184
2.1646 26.8968
2.2536 26.9706
2.2808 26.4151
0.8289 23.7095
1.5702 24.9648
1.7578 26.0528
1.4244 24.9212
1.3450 25.2215
1.3741 25.0899
0.8377 23.6067
1.6593 25.7949
1.9733 25.7638
2.0188 26.2972
1.0496 25.0356
1.4493 24.4092
1.8141 25.4140
1.4258 25.7661
1.6755 24.7726
1.8814 25.5594
0.8536 24.0053
2.0287 26.7623
2.4889 27.5727
1.5259 25.7394
1.4276 24.5660
1.3816 24.8549
1.0010 24.2017
0.8997 24.0676
1.2343 24.4408
0.9840 24.5535
1.3172 24.5992
1.1250 24.8564
1.9590 26.5555
2.0420 27.0627
1.1895 24.5119
0.6177 23.2622
1.0712 24.0809
0.9114 23.7618
1.4054 24.9592
2.3066 27.4550
1.4397 24.8054
1.9821 25.8374
0.3851 22.2141
2.8454 27.7351
2.0951 26.1507
2.2785 26.2533
0.9504 24.5741
0.8295 23.7204
1.6129 25.1026
1.5842 24.6378
0.4693 23.1644
2.0703 25.9694
1.5436 24.8922
2.2895 26.8030
0.9486 23.7355
1.3268 24.9325
2.0640 26.0553
2.4488 27.2836
0.7072 23.5403
1.3174 24.2593
2.4975 27.5627
1.7558 25.3307
2.5326 27.2238
1.6594 25.7912
0.9142 23.8101
2.2549 26.5628
0.2267 22.4274
2.6350 28.5670
2.5707 27.3782
0.4239 22.9976
1.0801 23.9015
1.1287 25.3329
0.7595 23.2201
2.4957 26.2730
2.1987 26.7757
1.4003 25.6267
1.2137 24.8449
1.1910 24.8721
1.6084 24.6080
1.6947 25.2974
2.1496 27.1089
1.4138 25.1826
0.8813 24.1011
1.3938 24.3416
1.5987 25.2543
2.1302 26.6705
1.1129 24.1435
0.3377 23.1146
1.9126 25.6858
1.2512 24.7345
1.1893 24.4766
2.7336 28.9011
2.8376 28.2258
0.8773 23.8649
0.5974 22.9642
2.2040 26.1698
2.6169 28.0826
1.3042 24.7634
1.6296 25.1636
1.1480 24.7814
0.8844 24.2556
1.3986 24.6810
1.6831 25.8676
1.6111 24.9308
1.2772 24.1179
1.9531 25.7825
1.5711 25.7378
0.7236 23.3178
0.8335 23.8642
0.8873 24.3063
1.1466 24.6078
1.7783 25.5854
2.0375 26.6029
1.5179 24.5812
1.2694 24.1894
2.8768 28.2711
0.8366 23.7126
2.0817 26.6762
2.7730 28.9993
1.7144 25.4501
2.1884 26.5393
2.1226 26.0718
2.6737 27.9200
2.2085 26.3219
2.3136 26.1443
1.7586 25.6142
1.9367 25.9170
2.5440 27.3371
0.8698 23.9060
1.5458 25.1094
0.3456 22.8281
1.7114 25.7247
1.1096 24.4164
1.2360 24.6470
1.8090 25.4690
2.6623 27.1586
1.8018 25.5550
1.0415 24.2304
1.5772 25.1290
0.8783 23.4863
0.1171 21.9999
0.7583 23.7888
0.9314 24.2742
2.2586 27.2925
1.3077 24.7206
1.5285 24.9964
1.9830 26.4039
0.5730 23.3365
1.0626 24.2984
1.3318 24.4306
1.2965 24.6718
1.4019 24.8872
1.9104 25.4573
0.3495 23.1649
2.0169 27.0069
1.3222 24.6878
2.7122 28.1690
1.9720 27.1607
0.9286 24.5213
1.4999 25.0196
0.8357 23.7456
1.4478 25.1778
1.4920 25.1121
1.1042 24.1294
0.8944 23.8338
0.5282 23.2822
2.9061 28.1315
2.2326 27.3538
1.0424 24.5738
2.7783 29.0913
1.3474 25.1392
1.3722 25.0086
0.6514 23.7864
0.9171 24.3645
1.6012 25.7022
0.8008 24.0263
2.2470 26.3906
0.8708 24.3315
0.6437 23.2169
1.3285 25.0256
1.2928 24.3577
1.1362 24.6971
1.8347 25.3554
0.5327 23.0696
0.7887 23.7511
1.0706 24.0838
2.5432 27.1313
1.8214 25.4117
1.5719 24.8613
2.2073 26.0486
1.6435 24.8830
0.0953 21.5661
0.8210 23.5549
1.8536 26.4466
1.4254 24.8393
2.9651 28.4638
2.0900 26.1771
2.5559 28.3700
2.4299 27.1980
1.1412 24.1756
1.4328 24.6714
1.1471 24.2349
1.9153 26.8300
1.3096 25.0721
1.6814 25.1640
1.1617 24.6796
1.4331 24.9511
1.3104 24.4261
1.6961 25.0516
1.7081 24.7706
1.8294 25.6578
1.3758 24.8244
1.7768 25.4090
0.8615 23.5245
1.0679 24.2296
0.8141 24.2745
1.8082 25.7237
0.9459 24.1304
1.5717 25.0564
0.3024 22.6139
2.2252 27.4291
1.9626 25.9293
0.9268 23.7907
2.4235 27.4262
1.4555 24.9613
0.8695 24.0414
1.1259 23.7455
1.6049 25.2238
0.8186 23.7720
1.1840 24.9387
2.6207 27.0509
1.0824 24.3911
1.1481 24.7388
1.4629 24.6214
1.5375 25.5089
1.3419 24.9698
2.2867 27.3528
0.8884 24.1802
2.1043 25.6813
1.4358 24.8463
2.0484 25.8161
2.1938 27.0534
1.0600 24.3534
1.5724 25.3849
0.6620 23.5884
2.6900 27.1488
2.2943 26.3377
0.6222 23.2427
1.8784 26.4139
0.8550 24.1499
0.7885 23.5853
0.4677 22.9007
0.6689 23.2502
2.3868 27.4626
1.2357 24.1439
2.6384 27.4127
1.1589 24.5447
0.9223 24.4956
1.1886 24.4777
0.5321 23.4241
2.6968 27.4392
0.9796 24.5735
0.9807 24.1295
3.0238 29.9772
2.6104 27.2770
1.9571 25.9611
1.3125 24.4792
1.8216 26.0583
0.3919 22.6482
2.2984 27.3519
2.0199 26.3579
1.6290 25.5135
1.4065 24.5212
2.0646 26.3372
1.8961 25.1416
0.9529 23.9059
1.8644 25.7147
0.9060 23.6442
1.9503 25.5599
0.3775 22.4440
2.5233 27.7480
0.8889 23.8573
0.3967 22.7395
1.2364 24.7028
3.0713 30.0918
1.1835 23.9839
1.1043 24.0427
2.2298 26.2426
1.8149 25.0811
0.8212 23.7044
2.6980 28.6829
0.9050 24.1213
1.4475 25.1494
0.9372 23.9830
0.9658 23.7807
1.9342 25.8721
1.0386 24.3133
1.0345 24.5598
1.1664 24.7537
2.1595 26.9264
1.0797 24.2395
2.1222 26.8445
1.6189 25.0412
0.9866 23.5024
1.6527 25.0135
1.1462 24.4414
0.5971 23.0744
1.4920 25.0387
2.1282 26.1931
2.1811 26.8237
0.6157 23.2466
1.6833 24.9475
2.7665 28.2065
1.1341 24.4858
1.7712 25.7431
2.1667 25.8210
2.6165 27.5252
2.5800 27.4782
1.7575 26.0270
2.6452 26.3001
1.0715 24.2035
2.2855 26.9724
2.0671 27.1874
1.3524 24.7030
0.2230 21.9799
1.6857 25.4213
2.6781 29.0647
2.2278 26.2903
1.1454 24.6713
0.3249 22.9096
2.9557 28.4548
1.6492 25.0524
2.0180 26.6463
0.5513 23.2132
0.9308 24.0313
2.6662 28.2494
1.0610 24.4661
2.4427 27.3255
0.9163 24.2704
1.2900 23.9258
2.6943 28.0000
1.0823 24.1048
1.0083 24.2603
0.2574 22.6732
1.5043 25.1161
2.5043 27.6073
1.5967 24.8181
2.0810 26.7664
2.7415 30.1876
0.8111 24.2343
0.7325 23.6960
1.8970 25.2198
0.6808 23.6759
2.7356 28.5955
1.8273 25.5709
2.9742 30.0395
0.9169 23.8787
1.1232 24.4630
1.0845 24.4245
0.8002 23.9078
1.5445 24.8460
0.7223 23.6360
1.4673 24.5064
3.0001 30.5225
1.7699 25.1570
1.8204 26.0401
1.5391 25.1685
1.7827 25.2840
2.5775 27.4889
1.1670 24.5439
1.0065 23.9115
1.5641 24.4732
2.6030 27.0951
2.6629 28.6634
1.5347 24.7690
1.0314 24.5881
2.0697 25.9054
1.5295 25.0999
1.6826 25.6260
1.2936 24.6545
1.2251 24.7422
1.5753 25.4995
1.3317 24.9978
0.9634 24.5011
1.5205 24.9962
1.3133 24.0055
1.0274 24.3363
0.8597 24.0176
1.4981 25.0267
1.0212 24.4153
1.4047 25.2113
1.8928 25.9114
1.4504 24.5785
0.7662 23.8897
2.9307 29.1505
1.4339 24.9914
0.0902 21.8253
0.8546 24.0271
1.1783 25.1378
2.7542 28.1816
1.7717 25.6718
1.6107 24.8858
0.8654 23.6397
2.1856 26.9082
1.9157 25.6524
1.1092 24.4104
1.4004 24.6563
1.2006 24.4223
1.4560 24.8421
1.1524 24.7606
0.8083 23.6430
1.0731 24.4612
1.2012 24.6574
2.2982 26.1502
1.4074 25.0992
2.2560 27.1187
2.9539 28.2422
0.8050 24.1568
1.2465 24.9026
1.1776 24.4799
2.0056 26.1819
1.7541 25.5636
0.6952 23.5235
2.8690 29.1593
0.8576 23.8043
1.6696 25.6957
1.1900 23.7514
1.5781 24.9984
2.0090 25.8251
1.0322 23.8763
0.8034 24.0560
0.9343 24.1907
2.6833 28.5582
1.1487 24.8666
0.8755 23.8721
1.6312 25.6410
0.8156 23.5252
1.7392 25.3586
0.6039 23.0830
1.0896 24.0974
1.4957 24.5962
2.0783 25.9604
1.5419 24.9940
2.3342 27.2189
0.6517 23.0758
0.6895 23.6320
2.3513 26.9040
2.2049 27.3353
0.5741 22.8885
1.2040 24.5783
2.2225 26.2413
0.7264 23.3251
1.7306 25.4914
1.7115 25.3178
1.3096 24.7556
0.7562 23.6703
1.9663 26.4282
2.1066 25.6759
2.1971 26.8919
1.2435 24.7740
1.2637 25.2828
1.5207 25.4944
1.5900 25.8204
1.3940 24.7889
2.1092 25.7844
1.5398 24.7430
1.0393 24.2490
3.0692 29.6893
1.0562 24.4910
0.9020 24.1135
1.4890 25.0282
0.6148 23.4312
0.9234 23.7193
0.9556 24.1528
1.6582 25.4331
1.8039 26.2273
1.4079 24.8865
0.6157 23.2291
2.4882 27.5925
1.3355 24.6756
1.3584 24.7971
0.7192 23.8304
1.3988 24.6368
1.0784 24.2573
