Effective area for WFIRST (m^2) - parameters as of 2019 03 25

Mirror surfaces are coated with Ag

   Wave      R062      Z087      Y106      J129      H158      F184      W146    SNPrism   BAO-Grism_1st   BAO-Grism_0th
     0.940    0.0000    2.4253    2.1465    0.0000    0.0000    0.0000    2.1465    2.3545      0.0000      0.0000
     0.945    0.0000    2.4200    2.3083    0.0000    0.0000    0.0000    2.3083    2.3540      0.0000      0.0000
     0.950    0.0000    2.4034    2.3842    0.0000    0.0000    0.0000    2.3842    2.3533      0.0000      0.0000
     0.955    0.0000    2.3596    2.4136    0.0000    0.0000    0.0000    2.4136    2.3534      0.0000      0.0000
     0.960    0.0000    2.2606    2.4242    0.0000    0.0000    0.0000    2.4242    2.3548      0.0000      0.0000
     0.965    0.0000    2.0700    2.4264    0.0000    0.0000    0.0000    2.4264    2.3547      0.0000      0.0000
     0.970    0.0000    1.7719    2.4280    0.0000    0.0000    0.0000    2.4280    2.3558      0.0000      0.0000
     0.975    0.0000    1.3823    2.4275    0.0000    0.0000    0.0000    2.4275    2.3553      0.0000      0.0000
     0.980    0.0000    0.9629    2.4282    0.0000    0.0000    0.0000    2.4282    2.3559      0.0000      0.0000
     0.985    0.0000    0.5877    2.4272    0.0000    0.0000    0.0000    2.4272    2.3549      0.0000      0.0000
     0.990    0.0000    0.3101    2.4254    0.0000    0.0000    0.0000    2.4254    2.3532      0.0000      0.0000
     0.995    0.0000    0.1401    2.4246    0.0000    0.0000    0.0000    2.4246    2.3524      0.0000      0.0000
     1.000    0.0000    0.0537    2.4220    0.0000    0.0000    0.0000    2.4220    2.3498      0.5503      0.0015
     1.005    0.0000    0.0174    2.4194    0.0000    0.0000    0.0000    2.4194    2.3474      1.1291      0.0029
     1.010    0.0000    0.0047    2.4163    0.0000    0.0000    0.0000    2.4163    2.3443      1.1570      0.0028
     1.015    0.0000    0.0011    2.4126    0.0000    0.0000    0.0000    2.4126    2.3407      1.1843      0.0027
     1.020    0.0000    0.0002    2.4085    0.0000    0.0000    0.0000    2.4085    2.3368      1.2111      0.0025
     1.025    0.0000    0.0000    2.4043    0.0000    0.0000    0.0000    2.4043    2.3327      1.2372      0.0024
     1.030    0.0000    0.0000    2.3999    0.0000    0.0000    0.0000    2.3999    2.3284      1.2629      0.0023
     1.035    0.0000    0.0000    2.3942    0.0000    0.0000    0.0000    2.3942    2.3229      1.2874      0.0022
     1.040    0.0000    0.0000    2.3901    0.0000    0.0000    0.0000    2.3901    2.3189      1.3122      0.0020
     1.045    0.0000    0.0000    2.3862    0.0000    0.0000    0.0000    2.3862    2.3152      1.3367      0.0019
     1.050    0.0000    0.0000    2.3827    0.0000    0.0000    0.0000    2.3827    2.3118      1.3608      0.0018
     1.055    0.0000    0.0000    2.3807    0.0000    0.0000    0.0000    2.3807    2.3098      1.3853      0.0017
     1.060    0.0000    0.0000    2.3790    0.0000    0.0000    0.0000    2.3790    2.3082      1.4094      0.0016
     1.065    0.0000    0.0000    2.3776    0.0000    0.0000    0.0000    2.3776    2.3069      1.4333      0.0015
     1.070    0.0000    0.0000    2.3765    0.0000    0.0000    0.0000    2.3765    2.3057      1.4567      0.0014
     1.075    0.0000    0.0000    2.3755    0.0000    0.0000    0.0000    2.3755    2.3047      1.4797      0.0013
     1.080    0.0000    0.0000    2.3745    0.0001    0.0000    0.0000    2.3745    2.3038      1.5022      0.0012
     1.085    0.0000    0.0000    2.3748    0.0006    0.0000    0.0000    2.3748    2.3041      1.5249      0.0011
     1.090    0.0000    0.0000    2.3735    0.0023    0.0000    0.0000    2.3735    2.3028      1.5461      0.0010
     1.095    0.0000    0.0000    2.3722    0.0078    0.0000    0.0000    2.3722    2.3016      1.5667      0.0009
     1.100    0.0000    0.0000    2.3717    0.0228    0.0000    0.0000    2.3717    2.3011      1.5873      0.0009
     1.105    0.0000    0.0000    2.3680    0.0587    0.0000    0.0000    2.3680    2.2974      1.6050      0.0008
     1.110    0.0000    0.0000    2.3651    0.1333    0.0000    0.0000    2.3651    2.2946      1.6228      0.0007
     1.115    0.0000    0.0000    2.3632    0.2681    0.0000    0.0000    2.3632    2.2928      1.6406      0.0006
     1.120    0.0000    0.0000    2.3612    0.4794    0.0000    0.0000    2.3612    2.2909      1.6577      0.0006
     1.125    0.0000    0.0000    2.3578    0.7668    0.0000    0.0000    2.3578    2.2876      1.6733      0.0005
     1.130    0.0000    0.0000    2.3558    1.1070    0.0000    0.0000    2.3558    2.2857      1.6892      0.0005
     1.135    0.0000    0.0000    2.3531    1.4559    0.0000    0.0000    2.3531    2.2831      1.7040      0.0004
     1.140    0.0000    0.0000    2.3504    1.7668    0.0000    0.0000    2.3506    2.2806      1.7183      0.0004
     1.145    0.0000    0.0000    2.3467    2.0068    0.0000    0.0000    2.3476    2.2777      1.7316      0.0003
     1.150    0.0000    0.0000    2.3430    2.1685    0.0000    0.0000    2.3460    2.2762      1.7454      0.0003
     1.155    0.0000    0.0000    2.3345    2.2620    0.0000    0.0000    2.3439    2.2741      1.7581      0.0003
     1.160    0.0000    0.0000    2.3163    2.3085    0.0000    0.0000    2.3419    2.2722      1.7704      0.0002
     1.165    0.0000    0.0000    2.2792    2.3293    0.0000    0.0000    2.3413    2.2716      1.7831      0.0002
     1.170    0.0000    0.0000    2.2053    2.3359    0.0000    0.0000    2.3397    2.2700      1.7945      0.0002
     1.175    0.0000    0.0000    2.0783    2.3383    0.0000    0.0000    2.3393    2.2697      1.8062      0.0001
     1.180    0.0000    0.0000    1.8831    2.3388    0.0000    0.0000    2.3390    2.2694      1.8175      0.0001
     1.185    0.0000    0.0000    1.6176    2.3374    0.0000    0.0000    2.3375    2.2679      1.8272      0.0001
     1.190    0.0000    0.0000    1.3018    2.3373    0.0000    0.0000    2.3373    2.2677      1.8374      0.0001
     1.195    0.0000    0.0000    0.9697    2.3371    0.0000    0.0000    2.3371    2.2675      1.8470      0.0001
     1.200    0.0000    0.0000    0.6615    2.3354    0.0000    0.0000    2.3354    2.2659      1.8549      0.0001
     1.205    0.0000    0.0000    0.4101    2.3332    0.0000    0.0000    2.3332    2.2637      1.8619      0.0000
     1.210    0.0000    0.0000    0.2298    2.3323    0.0000    0.0000    2.3323    2.2629      1.8694      0.0000
     1.215    0.0000    0.0000    0.1158    2.3314    0.0000    0.0000    2.3314    2.2620      1.8763      0.0000
     1.220    0.0000    0.0000    0.0522    2.3291    0.0000    0.0000    2.3291    2.2598      1.8816      0.0000
     1.225    0.0000    0.0000    0.0210    2.3280    0.0000    0.0000    2.3280    2.2587      1.8873      0.0000
     1.230    0.0000    0.0000    0.0075    2.3272    0.0000    0.0000    2.3272    2.2579      1.8928      0.0000
