# log likelihood values for the three models given below.
# for the good model, ln(L) = -35.52
# for the bad model, ln(L) = -168.97
# for the worse model, ln(L) = -inf
#  lam  flam  ferr  flam_good  flam_bad  flam_worse
12290.000  1.004e-14  1.004e-15  9.788e-15  9.441e-15  8.334e-15
12300.000  9.671e-15  9.671e-16  9.775e-15  9.397e-15  8.352e-15
12310.000  9.893e-15  9.893e-16  9.729e-15  9.355e-15  8.312e-15
12320.000  9.643e-15  9.643e-16  9.674e-15  9.341e-15  8.254e-15
12330.000  9.511e-15  9.511e-16  9.643e-15  9.358e-15  8.265e-15
12340.000  9.738e-15  9.738e-16  9.656e-15  9.383e-15  8.302e-15
12350.000  9.451e-15  9.451e-16  9.685e-15  9.385e-15  8.313e-15
12360.000  9.860e-15  9.860e-16  9.691e-15  9.380e-15  8.342e-15
12370.000  9.770e-15  9.770e-16  9.684e-15  9.358e-15  8.356e-15
12380.000  9.732e-15  9.732e-16  9.667e-15  9.311e-15  8.272e-15
12390.000  9.745e-15  9.745e-16  9.620e-15  9.257e-15  8.198e-15
12400.000  9.418e-15  9.418e-16  9.547e-15  9.264e-15  8.224e-15
12410.000  9.747e-15  9.747e-16  9.540e-15  9.294e-15  8.256e-15
12420.000  9.547e-15  9.547e-16  9.573e-15  9.301e-15  8.219e-15
12430.000  9.391e-15  9.391e-16  9.589e-15  9.286e-15  8.133e-15
12440.000  9.615e-15  9.615e-16  9.574e-15  9.281e-15  8.048e-15
12450.000  9.538e-15  9.538e-16  9.562e-15  9.273e-15  7.993e-15
12460.000  9.707e-15  9.707e-16  9.554e-15  9.241e-15  7.890e-15
12470.000  9.434e-15  9.434e-16  9.522e-15  9.210e-15  7.714e-15
12480.000  9.388e-15  9.388e-16  9.473e-15  9.205e-15  7.652e-15
12490.000  9.588e-15  9.588e-16  9.469e-15  9.198e-15  7.634e-15
12500.000  9.492e-15  9.492e-16  9.466e-15  9.206e-15  7.689e-15
12510.000  9.445e-15  9.445e-16  9.466e-15  9.218e-15  7.879e-15
12520.000  9.421e-15  9.421e-16  9.483e-15  9.193e-15  8.043e-15
12530.000  9.370e-15  9.370e-16  9.465e-15  9.156e-15  8.009e-15
12540.000  9.609e-15  9.609e-16  9.419e-15  9.152e-15  7.858e-15
12550.000  9.327e-15  9.327e-16  9.401e-15  9.166e-15  7.715e-15
12560.000  9.476e-15  9.476e-16  9.415e-15  9.168e-15  7.448e-15
12570.000  9.531e-15  9.531e-16  9.422e-15  9.169e-15  6.768e-15
12580.000  9.081e-15  9.081e-16  9.421e-15  9.170e-15  5.987e-15
12590.000  9.668e-15  9.668e-16  9.428e-15  9.141e-15  5.781e-15
12600.000  9.476e-15  9.476e-16  9.408e-15  9.085e-15  6.421e-15
12610.000  9.211e-15  9.211e-16  9.337e-15  9.079e-15  7.180e-15
12620.000  9.776e-15  9.776e-16  9.314e-15  9.091e-15  7.605e-15
12630.000  8.982e-15  8.982e-16  9.328e-15  9.082e-15  7.879e-15
12640.000  9.539e-15  9.539e-16  9.326e-15  9.042e-15  8.060e-15
12650.000  9.421e-15  9.421e-16  9.286e-15  8.991e-15  8.176e-15
12660.000  9.272e-15  9.272e-16  9.229e-15  8.943e-15  8.209e-15
12670.000  8.871e-15  8.871e-16  9.170e-15  8.888e-15  8.198e-15
12680.000  9.279e-15  9.279e-16  9.127e-15  8.807e-15  8.174e-15
12690.000  9.366e-15  9.366e-16  9.031e-15  8.737e-15  8.182e-15
12700.000  8.446e-15  8.446e-16  8.944e-15  8.725e-15  8.183e-15
12710.000  9.315e-15  9.315e-16  8.907e-15  8.718e-15  8.110e-15
12720.000  8.547e-15  8.547e-16  8.899e-15  8.721e-15  8.102e-15
12730.000  9.041e-15  9.041e-16  8.900e-15  8.748e-15  8.155e-15
12740.000  8.934e-15  8.934e-16  8.936e-15  8.727e-15  8.176e-15
12750.000  9.044e-15  9.044e-16  8.951e-15  8.601e-15  8.178e-15
12760.000  9.147e-15  9.147e-16  8.850e-15  8.429e-15  8.188e-15
12770.000  8.573e-15  8.573e-16  8.681e-15  8.151e-15  8.190e-15
12780.000  8.388e-15  8.388e-16  8.434e-15  7.661e-15  8.218e-15
12790.000  8.247e-15  8.247e-16  8.027e-15  6.696e-15  8.250e-15
12800.000  7.240e-15  7.240e-16  7.150e-15  5.811e-15  8.219e-15
12810.000  5.991e-15  5.991e-16  6.184e-15  5.800e-15  8.195e-15
12820.000  5.503e-15  5.503e-16  5.846e-15  6.661e-15  8.235e-15
12830.000  6.243e-15  6.243e-16  6.585e-15  7.599e-15  8.237e-15
12840.000  7.733e-15  7.733e-16  7.597e-15  8.145e-15  8.209e-15
12850.000  8.298e-15  8.298e-16  8.179e-15  8.436e-15  8.186e-15
12860.000  8.798e-15  8.798e-16  8.563e-15  8.635e-15  8.184e-15
12870.000  8.838e-15  8.838e-16  8.772e-15  8.729e-15  8.189e-15
12880.000  8.643e-15  8.643e-16  8.913e-15  8.782e-15  8.149e-15
12890.000  9.443e-15  9.443e-16  8.975e-15  8.797e-15  8.132e-15
12900.000  8.922e-15  8.922e-16  8.996e-15  8.798e-15  8.156e-15
12910.000  8.778e-15  8.778e-16  8.995e-15  8.804e-15  8.155e-15
12920.000  9.091e-15  9.091e-16  8.997e-15  8.793e-15  8.134e-15
12930.000  9.001e-15  9.001e-16  9.000e-15  8.748e-15  8.129e-15
12940.000  9.276e-15  9.276e-16  8.952e-15  8.705e-15  8.131e-15
12950.000  8.659e-15  8.659e-16  8.905e-15  8.717e-15  8.116e-15
12960.000  9.026e-15  9.026e-16  8.905e-15  8.748e-15  8.108e-15
12970.000  8.869e-15  8.869e-16  8.932e-15  8.770e-15  8.146e-15
12980.000  9.116e-15  9.116e-16  8.951e-15  8.789e-15  8.162e-15
12990.000  8.946e-15  8.946e-16  8.968e-15  8.798e-15  8.115e-15
13000.000  8.866e-15  8.866e-16  8.977e-15  8.808e-15  8.093e-15
13010.000  8.780e-15  8.780e-16  8.986e-15  8.806e-15  8.134e-15
13020.000  9.058e-15  9.058e-16  8.995e-15  8.775e-15  8.158e-15
13030.000  8.870e-15  8.870e-16  8.968e-15  8.745e-15  8.166e-15
13040.000  9.165e-15  9.165e-16  8.930e-15  8.758e-15  8.178e-15
13050.000  8.875e-15  8.875e-16  8.930e-15  8.767e-15  8.183e-15
13060.000  9.100e-15  9.100e-16  8.945e-15  8.757e-15  8.208e-15
13070.000  8.952e-15  8.952e-16  8.933e-15  8.743e-15  8.235e-15
13080.000  8.955e-15  8.955e-16  8.916e-15  8.734e-15  8.241e-15
13090.000  8.894e-15  8.894e-16  8.901e-15  8.726e-15  8.216e-15
13100.000  8.789e-15  8.789e-16  8.896e-15  8.703e-15  8.177e-15
13110.000  8.957e-15  8.957e-16  8.875e-15  8.675e-15  8.142e-15
13120.000  8.806e-15  8.806e-16  8.842e-15  8.681e-15  8.098e-15
13130.000  8.981e-15  8.981e-16  8.837e-15  8.683e-15  8.050e-15
13140.000  9.054e-15  9.054e-16  8.845e-15  8.672e-15  8.000e-15
13150.000  8.620e-15  8.620e-16  8.832e-15  8.666e-15  8.006e-15
13160.000  8.549e-15  8.549e-16  8.822e-15  8.658e-15  8.061e-15
13170.000  8.926e-15  8.926e-16  8.815e-15  8.620e-15  8.086e-15
13180.000  9.175e-15  9.175e-16  8.788e-15  8.521e-15  8.055e-15
13190.000  8.613e-15  8.613e-16  8.724e-15  8.437e-15  8.007e-15
13200.000  8.603e-15  8.603e-16  8.627e-15  8.465e-15  7.988e-15
13210.000  8.531e-15  8.531e-16  8.626e-15  8.500e-15  8.031e-15
13220.000  8.884e-15  8.884e-16  8.661e-15  8.508e-15  8.079e-15
13230.000  8.664e-15  8.664e-16  8.655e-15  8.549e-15  8.088e-15
13240.000  8.667e-15  8.667e-16  8.680e-15  8.594e-15  8.076e-15
13250.000  8.646e-15  8.646e-16  8.727e-15  8.598e-15  8.056e-15
13260.000  8.883e-15  8.883e-16  8.743e-15  8.602e-15  8.041e-15
13270.000  8.816e-15  8.816e-16  8.746e-15  8.597e-15  8.054e-15
13280.000  8.827e-15  8.827e-16  8.744e-15  8.587e-15  8.047e-15
13290.000  8.542e-15  8.542e-16  8.734e-15  8.591e-15  8.025e-15
13300.000  8.730e-15  8.730e-16  8.735e-15  8.593e-15  8.031e-15
13310.000  8.808e-15  8.808e-16  8.741e-15  8.583e-15  8.048e-15
13320.000  9.127e-15  9.127e-16  8.736e-15  8.562e-15  8.073e-15
13330.000  8.425e-15  8.425e-16  8.716e-15  8.530e-15  8.090e-15
13340.000  8.450e-15  8.450e-16  8.681e-15  8.505e-15  8.071e-15
13350.000  8.886e-15  8.886e-16  8.646e-15  8.486e-15  8.052e-15
13360.000  8.615e-15  8.615e-16  8.622e-15  8.467e-15  8.068e-15
13370.000  8.834e-15  8.834e-16  8.597e-15  8.444e-15  8.075e-15
13380.000  8.490e-15  8.490e-16  8.569e-15  8.453e-15  8.055e-15
13390.000  8.437e-15  8.437e-16  8.565e-15  8.465e-15  8.031e-15
13400.000  8.728e-15  8.728e-16  8.584e-15  8.452e-15  8.031e-15
13410.000  8.650e-15  8.650e-16  8.581e-15  8.419e-15  8.034e-15
13420.000  8.688e-15  8.688e-16  8.554e-15  8.390e-15  8.015e-15
13430.000  8.369e-15  8.369e-16  8.513e-15  8.385e-15  8.006e-15
13440.000  8.239e-15  8.239e-16  8.493e-15  8.407e-15  8.014e-15
