#  z  dl_cm  age_gyr  dl_K_sum
0.2800  4.42611408e+27  1.02303e+01  41.078
0.2810  4.44425316e+27  1.02208e+01  41.084
0.2820  4.46240701e+27  1.02114e+01  41.089
0.2830  4.48057561e+27  1.02019e+01  41.095
0.2840  4.49875895e+27  1.01925e+01  41.101
0.2850  4.51695700e+27  1.01831e+01  41.107
0.2860  4.53516975e+27  1.01737e+01  41.112
0.2870  4.55339717e+27  1.01643e+01  41.118
0.2880  4.57163926e+27  1.01550e+01  41.124
0.2890  4.58989599e+27  1.01456e+01  41.130
0.2900  4.60816735e+27  1.01363e+01  41.135
0.2910  4.62645331e+27  1.01269e+01  41.141
0.2920  4.64475386e+27  1.01176e+01  41.147
0.2930  4.66306898e+27  1.01083e+01  41.152
0.2940  4.68139866e+27  1.00990e+01  41.158
0.2950  4.69974286e+27  1.00897e+01  41.164
0.2960  4.71810159e+27  1.00804e+01  41.169
0.2970  4.73647481e+27  1.00712e+01  41.175
0.2980  4.75486252e+27  1.00619e+01  41.180
0.2990  4.77326468e+27  1.00527e+01  41.186
0.3000  4.79168129e+27  1.00435e+01  41.192
0.3010  4.81011233e+27  1.00343e+01  41.197
0.3020  4.82855778e+27  1.00251e+01  41.202
0.3030  4.84701762e+27  1.00159e+01  41.208
0.3040  4.86549183e+27  1.00067e+01  41.213
0.3050  4.88398040e+27  9.99755e+00  41.219
0.3060  4.90248330e+27  9.98840e+00  41.224
0.3070  4.92100053e+27  9.97927e+00  41.229
0.3080  4.93953205e+27  9.97014e+00  41.235
0.3090  4.95807787e+27  9.96103e+00  41.240
0.3100  4.97663794e+27  9.95193e+00  41.245
0.3110  4.99521227e+27  9.94284e+00  41.250
0.3120  5.01380083e+27  9.93376e+00  41.255
0.3130  5.03240360e+27  9.92470e+00  41.260
0.3140  5.05102057e+27  9.91565e+00  41.265
0.3150  5.06965172e+27  9.90660e+00  41.270
0.3160  5.08829703e+27  9.89758e+00  41.275
0.3170  5.10695648e+27  9.88856e+00  41.280
0.3180  5.12563006e+27  9.87955e+00  41.285
0.3190  5.14431774e+27  9.87056e+00  41.290
0.3200  5.16301952e+27  9.86158e+00  41.295
0.3210  5.18173537e+27  9.85261e+00  41.300
0.3220  5.20046528e+27  9.84365e+00  41.305
0.3230  5.21920922e+27  9.83471e+00  41.309
0.3240  5.23796718e+27  9.82577e+00  41.314
0.3250  5.25673915e+27  9.81685e+00  41.319
0.3260  5.27552511e+27  9.80794e+00  41.324
0.3270  5.29432503e+27  9.79904e+00  41.328
0.3280  5.31313890e+27  9.79016e+00  41.333
0.3290  5.33196671e+27  9.78128e+00  41.338
0.3300  5.35080843e+27  9.77242e+00  41.342
0.3310  5.36966406e+27  9.76357e+00  41.347
0.3320  5.38853356e+27  9.75473e+00  41.351
0.3330  5.40741693e+27  9.74590e+00  41.356
0.3340  5.42631415e+27  9.73708e+00  41.360
0.3350  5.44522520e+27  9.72828e+00  41.365
0.3360  5.46415006e+27  9.71948e+00  41.369
0.3370  5.48308871e+27  9.71070e+00  41.374
0.3380  5.50204115e+27  9.70193e+00  41.378
0.3390  5.52100734e+27  9.69317e+00  41.383
0.3400  5.53998728e+27  9.68442e+00  41.387
0.3410  5.55898095e+27  9.67569e+00  41.391
0.3420  5.57798833e+27  9.66696e+00  41.396
0.3430  5.59700940e+27  9.65825e+00  41.400
